Zeit;Kanal A;Kanal B
(ms);(V);(A)

-5,00012795;0,00000000;-3,93700790
-5,00001595;0,00000000;0,00000000
-4,99990395;-1,96850395;-3,93700790
-4,99979195;0,00000000;-3,93700790
-4,99967995;-1,96850395;0,00000000
-4,99956795;-1,96850395;0,00000000
-4,99945595;-1,96850395;0,00000000
-4,99934395;0,00000000;-3,93700790
-4,99923195;0,00000000;-3,93700790
-4,99911995;0,00000000;0,00000000
-4,99900795;0,00000000;-3,93700790
-4,99889595;0,00000000;0,00000000
-4,99878395;-1,96850395;-3,93700790
-4,99867195;0,00000000;0,00000000
-4,99855995;0,00000000;0,00000000
-4,99844795;0,00000000;0,00000000
-4,99833595;0,00000000;0,00000000
-4,99822395;-1,96850395;-3,93700790
-4,99811195;0,00000000;0,00000000
-4,99799995;0,00000000;-3,93700790
-4,99788795;-1,96850395;-3,93700790
-4,99777595;-1,96850395;0,00000000
-4,99766395;0,00000000;0,00000000
-4,99755195;0,00000000;0,00000000
-4,99743995;0,00000000;0,00000000
-4,99732795;0,00000000;0,00000000
-4,99721595;0,00000000;-3,93700790
-4,99710395;0,00000000;-3,93700790
-4,99699195;-1,96850395;0,00000000
-4,99687995;0,00000000;-3,93700790
-4,99676795;-1,96850395;-3,93700790
-4,99665595;0,00000000;0,00000000
-4,99654395;-1,96850395;0,00000000
-4,99643195;0,00000000;0,00000000
-4,99631995;0,00000000;0,00000000
-4,99620795;0,00000000;0,00000000
-4,99609595;0,00000000;0,00000000
-4,99598395;0,00000000;0,00000000
-4,99587195;0,00000000;-3,93700790
-4,99575995;0,00000000;0,00000000
-4,99564795;0,00000000;0,00000000
-4,99553595;0,00000000;-3,93700790
-4,99542395;-1,96850395;0,00000000
-4,99531195;0,00000000;0,00000000
-4,99519995;0,00000000;-3,93700790
-4,99508795;-1,96850395;0,00000000
-4,99497595;0,00000000;0,00000000
-4,99486395;0,00000000;0,00000000
-4,99475195;-1,96850395;0,00000000
-4,99463995;-1,96850395;-3,93700790
-4,99452795;0,00000000;0,00000000
-4,99441595;0,00000000;0,00000000
-4,99430395;0,00000000;0,00000000
-4,99419195;0,00000000;-3,93700790
-4,99407995;-1,96850395;0,00000000
-4,99396795;0,00000000;-3,93700790
-4,99385595;0,00000000;0,00000000
-4,99374395;0,00000000;-3,93700790
-4,99363195;0,00000000;0,00000000
-4,99351995;0,00000000;-3,93700790
-4,99340795;0,00000000;-3,93700790
-4,99329595;0,00000000;-3,93700790
-4,99318395;0,00000000;0,00000000
-4,99307195;0,00000000;0,00000000
-4,99295995;0,00000000;0,00000000
-4,99284795;0,00000000;0,00000000
-4,99273595;-1,96850395;0,00000000
-4,99262395;0,00000000;0,00000000
-4,99251195;0,00000000;-3,93700790
-4,99239995;0,00000000;0,00000000
-4,99228795;0,00000000;0,00000000
-4,99217595;-1,96850395;0,00000000
-4,99206395;0,00000000;0,00000000
-4,99195195;0,00000000;0,00000000
-4,99183995;0,00000000;-3,93700790
-4,99172795;0,00000000;0,00000000
-4,99161595;0,00000000;-3,93700790
-4,99150395;0,00000000;0,00000000
-4,99139195;0,00000000;0,00000000
-4,99127995;0,00000000;0,00000000
-4,99116795;-1,96850395;0,00000000
-4,99105595;0,00000000;0,00000000
-4,99094395;0,00000000;-3,93700790
-4,99083195;0,00000000;0,00000000
-4,99071995;0,00000000;-3,93700790
-4,99060795;0,00000000;0,00000000
-4,99049595;0,00000000;0,00000000
-4,99038395;0,00000000;0,00000000
-4,99027195;0,00000000;0,00000000
-4,99015995;0,00000000;0,00000000
-4,99004795;0,00000000;0,00000000
-4,98993595;0,00000000;0,00000000
-4,98982395;0,00000000;-3,93700790
-4,98971195;0,00000000;0,00000000
-4,98959995;0,00000000;0,00000000
-4,98948795;0,00000000;-3,93700790
-4,98937595;0,00000000;-3,93700790
-4,98926395;0,00000000;0,00000000
-4,98915195;-1,96850395;0,00000000
-4,98903995;0,00000000;0,00000000
-4,98892795;0,00000000;0,00000000
-4,98881595;0,00000000;0,00000000
-4,98870395;0,00000000;-3,93700790
-4,98859195;0,00000000;-3,93700790
-4,98847995;0,00000000;0,00000000
-4,98836795;0,00000000;0,00000000
-4,98825595;0,00000000;0,00000000
-4,98814395;0,00000000;0,00000000
-4,98803195;0,00000000;0,00000000
-4,98791995;0,00000000;0,00000000
-4,98780795;0,00000000;0,00000000
-4,98769595;0,00000000;0,00000000
-4,98758395;0,00000000;0,00000000
-4,98747195;0,00000000;-3,93700790
-4,98735995;-1,96850395;-3,93700790
-4,98724795;0,00000000;0,00000000
-4,98713595;0,00000000;0,00000000
-4,98702395;0,00000000;0,00000000
-4,98691195;0,00000000;0,00000000
-4,98679995;0,00000000;0,00000000
-4,98668795;0,00000000;0,00000000
-4,98657595;0,00000000;0,00000000
-4,98646395;0,00000000;0,00000000
-4,98635195;0,00000000;0,00000000
-4,98623995;-1,96850395;-3,93700790
-4,98612795;0,00000000;0,00000000
-4,98601595;-1,96850395;0,00000000
-4,98590395;0,00000000;-3,93700790
-4,98579195;0,00000000;-3,93700790
-4,98567995;0,00000000;0,00000000
-4,98556795;-1,96850395;0,00000000
-4,98545595;0,00000000;-3,93700790
-4,98534395;0,00000000;0,00000000
-4,98523195;0,00000000;0,00000000
-4,98511995;0,00000000;-3,93700790
-4,98500795;0,00000000;0,00000000
-4,98489595;0,00000000;0,00000000
-4,98478395;0,00000000;0,00000000
-4,98467195;0,00000000;0,00000000
-4,98455995;0,00000000;-3,93700790
-4,98444795;-1,96850395;-3,93700790
-4,98433595;0,00000000;0,00000000
-4,98422395;0,00000000;0,00000000
-4,98411195;0,00000000;0,00000000
-4,98399995;0,00000000;-3,93700790
-4,98388795;0,00000000;0,00000000
-4,98377595;0,00000000;-3,93700790
-4,98366395;0,00000000;0,00000000
-4,98355195;0,00000000;-3,93700790
-4,98343995;0,00000000;0,00000000
-4,98332795;-1,96850395;-3,93700790
-4,98321595;0,00000000;0,00000000
-4,98310395;0,00000000;-3,93700790
-4,98299195;0,00000000;-3,93700790
-4,98287995;0,00000000;0,00000000
-4,98276795;0,00000000;0,00000000
-4,98265595;0,00000000;0,00000000
-4,98254395;0,00000000;0,00000000
-4,98243195;0,00000000;-3,93700790
-4,98231995;0,00000000;0,00000000
-4,98220795;0,00000000;0,00000000
-4,98209595;0,00000000;0,00000000
-4,98198395;0,00000000;0,00000000
-4,98187195;0,00000000;0,00000000
-4,98175995;0,00000000;-3,93700790
-4,98164795;0,00000000;0,00000000
-4,98153595;0,00000000;-3,93700790
-4,98142395;0,00000000;-3,93700790
-4,98131195;0,00000000;0,00000000
-4,98119995;0,00000000;0,00000000
-4,98108795;0,00000000;0,00000000
-4,98097595;-1,96850395;0,00000000
-4,98086395;-1,96850395;-3,93700790
-4,98075195;0,00000000;0,00000000
-4,98063995;-1,96850395;0,00000000
-4,98052795;0,00000000;0,00000000
-4,98041595;0,00000000;-3,93700790
-4,98030395;0,00000000;0,00000000
-4,98019195;-1,96850395;-3,93700790
-4,98007995;0,00000000;0,00000000
-4,97996795;-1,96850395;-3,93700790
-4,97985595;0,00000000;0,00000000
-4,97974395;0,00000000;-3,93700790
-4,97963195;0,00000000;0,00000000
-4,97951995;0,00000000;0,00000000
-4,97940795;0,00000000;0,00000000
-4,97929595;0,00000000;-3,93700790
-4,97918395;-1,96850395;-3,93700790
-4,97907195;0,00000000;-3,93700790
-4,97895995;0,00000000;0,00000000
-4,97884795;0,00000000;-3,93700790
-4,97873595;0,00000000;0,00000000
-4,97862395;0,00000000;0,00000000
-4,97851195;0,00000000;-3,93700790
-4,97839995;0,00000000;-3,93700790
-4,97828795;0,00000000;0,00000000
-4,97817595;0,00000000;0,00000000
-4,97806395;0,00000000;0,00000000
-4,97795195;-1,96850395;0,00000000
-4,97783995;-1,96850395;0,00000000
-4,97772795;0,00000000;0,00000000
-4,97761595;0,00000000;0,00000000
-4,97750395;0,00000000;0,00000000
-4,97739195;0,00000000;0,00000000
-4,97727995;0,00000000;0,00000000
-4,97716795;0,00000000;0,00000000
-4,97705595;0,00000000;-3,93700790
-4,97694395;0,00000000;0,00000000
-4,97683195;0,00000000;0,00000000
-4,97671995;0,00000000;0,00000000
-4,97660795;0,00000000;0,00000000
-4,97649595;0,00000000;0,00000000
-4,97638395;0,00000000;0,00000000
-4,97627195;0,00000000;0,00000000
-4,97615995;0,00000000;-3,93700790
-4,97604795;0,00000000;-3,93700790
-4,97593595;0,00000000;-3,93700790
-4,97582395;0,00000000;0,00000000
-4,97571195;-1,96850395;0,00000000
-4,97559995;0,00000000;0,00000000
-4,97548795;0,00000000;0,00000000
-4,97537595;0,00000000;0,00000000
-4,97526395;0,00000000;-3,93700790
-4,97515195;0,00000000;0,00000000
-4,97503995;0,00000000;0,00000000
-4,97492795;0,00000000;0,00000000
-4,97481595;-1,96850395;-3,93700790
-4,97470395;0,00000000;0,00000000
-4,97459195;0,00000000;0,00000000
-4,97447995;0,00000000;-3,93700790
-4,97436795;0,00000000;0,00000000
-4,97425595;0,00000000;0,00000000
-4,97414395;0,00000000;0,00000000
-4,97403195;0,00000000;0,00000000
-4,97391995;0,00000000;-3,93700790
-4,97380795;0,00000000;-3,93700790
-4,97369595;0,00000000;0,00000000
-4,97358395;0,00000000;0,00000000
-4,97347195;0,00000000;0,00000000
-4,97335995;0,00000000;-3,93700790
-4,97324795;0,00000000;0,00000000
-4,97313595;-1,96850395;0,00000000
-4,97302395;0,00000000;0,00000000
-4,97291195;0,00000000;-3,93700790
-4,97279995;0,00000000;-3,93700790
-4,97268795;0,00000000;0,00000000
-4,97257595;0,00000000;0,00000000
-4,97246395;0,00000000;0,00000000
-4,97235195;0,00000000;-3,93700790
-4,97223995;0,00000000;0,00000000
-4,97212795;0,00000000;-3,93700790
-4,97201595;0,00000000;-3,93700790
-4,97190395;0,00000000;0,00000000
-4,97179195;-1,96850395;0,00000000
-4,97167995;0,00000000;0,00000000
-4,97156795;0,00000000;-3,93700790
-4,97145595;0,00000000;-3,93700790
-4,97134395;0,00000000;0,00000000
-4,97123195;0,00000000;0,00000000
-4,97111995;0,00000000;0,00000000
-4,97100795;-1,96850395;0,00000000
-4,97089595;0,00000000;0,00000000
-4,97078395;0,00000000;-3,93700790
-4,97067195;0,00000000;-3,93700790
-4,97055995;-1,96850395;0,00000000
-4,97044795;0,00000000;0,00000000
-4,97033595;0,00000000;0,00000000
-4,97022395;0,00000000;-3,93700790
-4,97011195;-1,96850395;0,00000000
-4,96999995;0,00000000;0,00000000
-4,96988795;0,00000000;0,00000000
-4,96977595;0,00000000;-3,93700790
-4,96966395;0,00000000;-3,93700790
-4,96955195;0,00000000;0,00000000
-4,96943995;0,00000000;0,00000000
-4,96932795;-1,96850395;0,00000000
-4,96921595;0,00000000;-3,93700790
-4,96910395;0,00000000;0,00000000
-4,96899195;-1,96850395;0,00000000
-4,96887995;0,00000000;0,00000000
-4,96876795;0,00000000;-3,93700790
-4,96865595;0,00000000;0,00000000
-4,96854395;-1,96850395;0,00000000
-4,96843195;0,00000000;-3,93700790
-4,96831995;0,00000000;0,00000000
-4,96820795;0,00000000;0,00000000
-4,96809595;-1,96850395;-3,93700790
-4,96798395;0,00000000;0,00000000
-4,96787195;0,00000000;-3,93700790
-4,96775995;0,00000000;0,00000000
-4,96764795;-1,96850395;-3,93700790
-4,96753595;0,00000000;0,00000000
-4,96742395;0,00000000;-3,93700790
-4,96731195;0,00000000;0,00000000
-4,96719995;-1,96850395;-3,93700790
-4,96708795;0,00000000;-3,93700790
-4,96697595;0,00000000;0,00000000
-4,96686395;0,00000000;0,00000000
-4,96675195;0,00000000;0,00000000
-4,96663995;0,00000000;0,00000000
-4,96652795;0,00000000;0,00000000
-4,96641595;-1,96850395;0,00000000
-4,96630395;0,00000000;-3,93700790
-4,96619195;0,00000000;-3,93700790
-4,96607995;0,00000000;0,00000000
-4,96596795;0,00000000;0,00000000
-4,96585595;-1,96850395;-3,93700790
-4,96574395;0,00000000;0,00000000
-4,96563195;0,00000000;0,00000000
-4,96551995;0,00000000;-3,93700790
-4,96540795;0,00000000;-3,93700790
-4,96529595;0,00000000;-3,93700790
-4,96518395;0,00000000;0,00000000
-4,96507195;0,00000000;0,00000000
